,메뉴,설명,열량,포화지방,나트륨,탄수화물,당,카페인,단백질
0,브라운 마끼아토네,"프리미엄 에스프레소와 달콤한 황설탕, 실크와 같은 밀크폼이 더해진 이탈리아식 에스프레소 음료.",121,3,60,15,14,99,36
1,마끼아토네,에스프레소 마끼아토 보다는 부드러우면서 카푸치노 보다는 진한 매력을 가진 이탈리아식 에스프레소 음료,89,3,60,7,6,99,36
2,아이스 바닐라빈 오트 라떼,"프리미엄 바닐라빈 소스와 크리미하고 진한 오트음료, 에스프레소의 깊은 풍미가 느껴지는 라떼",171,0,73,29,19,99,1
3,바닐라빈 오트 라떼,"프리미엄 바닐라빈 소스와 크리미하고 진한 오트음료, 에스프레소의 깊은 풍미가 느껴지는 라떼",259,1,136,41,23,99,2
4,아이스 헤이즐넛 라떼,"에스프레소와 헤이즐넛 파우더, 저지방 우유와 얼음",270,8,164,39,33,99,7
5,카페 라떼,에스프레소와 스팀밀크 그리고 거품,198,8,150,14,14,99,9
6,아메리카노,따뜻한 물에 부드러워진 에스프레소의 컴비네이션,10,0,0,2,0,198,0
7,카푸치노,에스프레소와 스팀밀크 그리고 진한 거품,135,5,100,10,9,99,6
8,헤이즐넛 아메리카노,따뜻한 물에 부드러워진 에스프레소와 헤이즐넛 파우더의 콤비네이션,196,7,69,30,24,198,1
9,브라운 마끼아토네,"프리미엄 에스프레소와 달콤한 황설탕, 실크와 같은 밀크폼이 더해진 이탈리아식 에스프레소 음료.",121,3,60,15,14,99,36
10,마끼아토네,에스프레소 마끼아토 보다는 부드러우면서 카푸치노 보다는 진한 매력을 가진 이탈리아식 에스프레소 음료,89,3,60,7,6,99,36
11,아이스 바닐라빈 오트 라떼,"프리미엄 바닐라빈 소스와 크리미하고 진한 오트음료, 에스프레소의 깊은 풍미가 느껴지는 라떼",171,0,73,29,19,99,1
12,바닐라빈 오트 라떼,"프리미엄 바닐라빈 소스와 크리미하고 진한 오트음료, 에스프레소의 깊은 풍미가 느껴지는 라떼",259,1,136,41,23,99,2
13,아이스 헤이즐넛 라떼,"에스프레소와 헤이즐넛 파우더, 저지방 우유와 얼음",270,8,164,39,33,99,7
14,카페 라떼,에스프레소와 스팀밀크 그리고 거품,198,8,150,14,14,99,9
15,아메리카노,따뜻한 물에 부드러워진 에스프레소의 컴비네이션,10,0,0,2,0,198,0
16,카푸치노,에스프레소와 스팀밀크 그리고 진한 거품,135,5,100,10,9,99,6
17,헤이즐넛 아메리카노,따뜻한 물에 부드러워진 에스프레소와 헤이즐넛 파우더의 콤비네이션,196,7,69,30,24,198,1
18,브라운 마끼아토네,"프리미엄 에스프레소와 달콤한 황설탕, 실크와 같은 밀크폼이 더해진 이탈리아식 에스프레소 음료.",121,3,60,15,14,99,36
19,마끼아토네,에스프레소 마끼아토 보다는 부드러우면서 카푸치노 보다는 진한 매력을 가진 이탈리아식 에스프레소 음료,89,3,60,7,6,99,36
20,아이스 바닐라빈 오트 라떼,"프리미엄 바닐라빈 소스와 크리미하고 진한 오트음료, 에스프레소의 깊은 풍미가 느껴지는 라떼",171,0,73,29,19,99,1
21,바닐라빈 오트 라떼,"프리미엄 바닐라빈 소스와 크리미하고 진한 오트음료, 에스프레소의 깊은 풍미가 느껴지는 라떼",259,1,136,41,23,99,2
22,아이스 헤이즐넛 라떼,"에스프레소와 헤이즐넛 파우더, 저지방 우유와 얼음",270,8,164,39,33,99,7
23,카페 라떼,에스프레소와 스팀밀크 그리고 거품,198,8,150,14,14,99,9
24,아메리카노,따뜻한 물에 부드러워진 에스프레소의 컴비네이션,10,0,0,2,0,198,0
25,카푸치노,에스프레소와 스팀밀크 그리고 진한 거품,135,5,100,10,9,99,6
26,헤이즐넛 아메리카노,따뜻한 물에 부드러워진 에스프레소와 헤이즐넛 파우더의 콤비네이션,196,7,69,30,24,198,1
